DateTime,AddedIPs,RemovedIPs
1550140088,85,0
1550140928,53,135
1550142849,109,105
1550143688,35,2
1550144801,195,121
1550145921,246,124
1550147214,315,1
1550148130,221,190
1550150059,465,174
1550151740,368,89
1550153420,350,94
1550154651,262,138
1550155809,219,46
1550157254,292,111
1550158974,314,148
1550159767,224,0
1550160849,213,157
1550162528,398,125
1550164508,387,112
1550165288,250,0
1550166974,406,191
1550168117,236,91
1550168889,63,0
1550170567,106,139
1550171648,81,76
1550173209,102,145
1550175248,179,93
1550176096,94,0
1550177408,114,143
1550178609,100,142
1550179709,71,0
1550181008,124,150
1550182208,88,68
1550184129,129,90
1550184968,84,0
1550186109,70,80
1550187728,107,124
1550188568,49,0
1550189648,50,100
1550191329,92,177
1550193256,130,50
1550194955,102,126
1550196848,136,60
1550197689,36,0
1550198529,26,119
1550200210,87,71
1550201298,68,0
1550202968,166,168
1550204048,64,126
1550205730,106,135
1550206568,64,0
1550207709,63,120
1550209339,83,174
1550210168,55,2
1550211248,46,65
1550212088,24,1
1550213768,78,96
1550214909,55,134
1550215688,34,0
1550217368,100,99
1550218448,57,153
1550220007,82,110
1550220967,45,64
1550222048,51,99
1550222888,42,0
1550224013,76,361
1550225116,119,172
1550226478,70,0
1550227809,126,73
1550229248,113,107
1550230087,31,0
1550230928,90,143
1550232848,136,98
1550234113,93,109
1550235390,108,30
1550236448,90,73
1550238017,88,105
1550239508,122,117
1550241048,77,97
1550242569,77,54
1550243649,78,68
1550244936,59,111
1550246169,90,55
1550247247,55,64
1550248098,93,1
1550249412,83,83
1550250849,65,103
1550252052,102,100
1550253293,59,24
1550254509,49,98
1550255776,44,75
1550256908,64,23
1550258888,148,79
1550260567,87,113
1550262016,99,106
1550263508,121,135
1550265247,90,72
1550266937,89,680
1550267768,46,1
1550268847,45,584
1550270108,63,499
1550271692,69,116
1550272448,35,0
1550276048,152,255
1550277618,79,79
1550279281,67,126
1550281330,75,129
1550282724,59,79
1550284099,63,0
1550285707,59,106
1550287688,79,67
1550288528,40,120
1550290449,84,59
1550292010,64,86
1550294057,74,85
1550294888,38,0
1550295729,29,100
1550297648,101,81
1550298909,63,125
1550300169,51,0
1550301309,40,127
1550302928,75,155
1550304309,79,102
1550305690,86,0
1550306528,33,102
1550308447,69,106
1550310128,100,90
1550310968,44,0
1550312047,48,117
1550312888,48,0
1550314210,75,113
1550315408,74,405
1550317327,105,498
1550318718,53,353
1550320098,77,0
1550321342,57,492
1550322616,81,313
1550323687,65,2
1550325739,126,762
1550326448,37,1
1550328318,112,424
1550329710,86,275
1550330887,66,1
1550332568,100,526
1550333708,52,291
1550335328,62,392
1550336168,49,0
1550337308,73,530
1550338939,80,375
1550340319,76,101
1550341508,52,0
1550342864,64,168
1550344218,58,79
1550345476,49,133
1550346128,38,0
1550346968,36,0
1550348056,40,114
1550349244,56,85
1550350571,60,73
1550351708,62,76
1550353339,119,142
1550354168,50,0
1550355248,77,137
1550356509,81,107
1550358909,139,85
1550360528,127,124
1550361369,47,0
1550362448,198,81
1550364142,109,105
1550366048,76,99
1550367739,103,137
1550369658,138,58
1550371344,119,156
1550373020,95,101
1550376325,131,273
1550378719,105,135
1550380448,127,84
1550382019,74,67
1550383508,68,87
1550384047,24,0
1550384896,57,0
1550385729,43,138
1550387419,78,72
1550389329,99,143
1550390167,62,2
1550391247,69,70
1550392088,48,0
1550392937,45,96
1550393767,72,0
1550394848,93,111
1550396527,72,163
1550398448,132,90
1550400128,100,217
1550402048,115,103
